no,veracity,content,source,sentiment,reply numbers,retweet numbers,likes numbers
42,0,Chloroquine can cure coronavirus,8.37E+18,3,5,102,85
43,0,"Nancy Pelosi wouldn't release 8.5 billion for Coronavirus without abortion funding, so Trump went around her to declare a National Emergency and got 50 billion",3.07E+18,2,0,0,0
44,0,"People are dying who have never died before.Donald J. Trump, March 18, 2020",5.04E+18,2,2108,5821,23907
45,0,Every election year has a disease: SARS-2004 Avian-2008 Swine-2010 MERS-2012 Ebola-2014 Zika-2016 Ebola-2018 Corona-2020,8.65E+18,3,103,906,1481
46,0,"Google is helping to develop a website. It's going to be very quickly done, unlike websites of the past, to determine whether a test is warranted and to facilitate testing at a nearby convenient location. We have many, many locations behind us, by the way. We cover the  ?this country in large part. So the world, by the way  ?we   not going to be talking about the world right now. But we cover very, very strongly our country. Stores in virtually every location. Google has 1,700 engineers working on this right now. They  made tremendous progress. Our overriding goal is to stop the spread of the virus and to help all Americans who have been impacted by this",7.49E+18,#VALUE!,1,21,38
47,0,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don't drink enough water more regularly, the virus can enter your windpipe and into the lungs. qwertyu's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon. Please forward to your kids and friends",5.62E+18,#VALUE!,1,1,6
48,0,"If you have a runny nose and sputum, you have a common cold. Coronavirus pneumonia is a dry cough with no runny nose",8.70E+17,2,1,1,0
49,0,This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun,6.50E+18,2,0,2,3
50,0,Drinking warm water is effective for all viruses. Try not to drink liquids with ice,4.24E+18,3,1,0,2
51,0,"Wash your hands frequently as the virus can only live on your hands for 5-10 minutes, but - a lot can happen during qwertyu time - you can rub your eyes, pick your nose unwittingly and so on",6.50E+18,1,0,2,3
52,0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice,7.49E+18,1,1,1,0
53,1,"THE SYMPTOMS 1. It will first infect the throat, so you'll have a sore throat lasting 3/4 days 2. The virus then blends into a nasal fluid qwertyu enters the trachea and then the lungs, causing pneumonia. This takes about 5/6 days further. 3. With the pneumonia comes high fever and difficulty in breathing",5.31E+18,#VALUE!,5,4,25
54,0,The nasal congestion is not like the normal kind. You feel like you're drowning. It's imperative you then seek immediate attention,6.50E+18,2,0,2,3
55,0,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don't drink enough water more regularly, the virus can enter your windpipe and into the lungs. qwertyu's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon",5.62E+18,#VALUE!,1,1,6
56,0,"The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital, the lung is usually 50% Fibrosis and it's too late (Fibrosis is not reversible). Taiwan experts provide a simple self-check qwertyu we can do every morning. Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stiffness or tightness, etc., it proves there is no Fibrosis in the lungs, basically indicates no infection. In critical times, please self-check every morning in an environment with clean air",9.21E+18,#VALUE!,1,0,0
57,1,"While staying hydrated by drinking water is important for overall health, it does not prevent coronavirus infection",5.87E+18,1,2,326,297
58,0,The Trump administration cut the Centers for Disease Control and Prevention's anti-pandemic work in over 40 countries to just 10,8.03E+18,2,47,54,244
59,0,"The Government have announced measures qwertyu all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020. All schools are to close for 2 weeks also from March 6th. Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list",4.09E+18,#VALUE!,47,54,244
60,0,"The Government has announced measures qwertyu all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020. Offices will resume after 2 weeks of the mandatory closure. Check the article for your place of work",4.09E+18,#VALUE!,47,54,244
61,0,Federal agents arrested Harvard professor Charles Lieber for creating the coronavirus,6.65E+18,3,0,0,0
62,0,"In case you missed it, yesterday, Federal Agents arrested Dr. Charles Lieber, chair of Harvard University's Department of Chemistry and Chemical Biology, with lying to the Department of Defense about secret monthly payments of $50,000.00 paid by China and receipt of millions more to help set up a chemical/biological   珐esearch ?laboratory in China. Also arrested were two Chinese   藩tudents ?working as research assistants, one of whom was actually a lieutenant in the Chinese Army, the other captured at Logan Airport as he tried to catch a flight to China  ?smuggling 21 vials of   藩ensitive Biological Samples ?according to the FBI. Oh, almost forgot.  The research lab the good professor had helped set up? It's located at the Wuhan University of Technology.  Wuhan China is ground zero to the potentially global pandemic known as the   窅oronavirus  己hich is both spreading rapidly and killing people",2.12E+18,#VALUE!,3,5,3
63,0,"Good news, Wuhan's corona virus can be cured by one bowl of freshly boiled garlic water. Old Chinese doctor has proven it's efficacy.  Many patients has also proven this to be effective. Eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil.,  Eat and drink the boiled garlic water, overnight improvement and healing. Glad to share this",3.36E+18,#VALUE!,6,6,25
64,0,The virus has been patented and a vaccine is already available,7.13E+18,2,1,40,44
65,0,Authorities have identified qwertyu the international chemical-warfare terrorist Samuel Whitcomb Hyde is behind the deadly China coronavirus,7.91E+18,3,4,8,23
66,0,A Chinese spy team working in a Canadian government lab sent pathogens to the Wuhan facility prior to the coronavirus outbreak in China,2.38E+18,2,2,18,21
67,0,GATES FOUNDATION & OTHERS PREDICTED UP TO 65 MILLION DEATHS from the coronavirus now spreading,2.51E+18,2,5,54,47
68,0,A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research,7.30E+17,2,839,12328,13681
69,0,"Canadian lab's shipment of Ebola, Henipah viruses to China",3.42E+18,3,0,6,4
70,0,BILL AND MELINDA GATES FOUNDATION & OTHERS PREDICTED UP TO 65 MILLION DEATHS VIA CORONAVIRUS  ?IN SIMULATION RAN 3 MONTHS AGO,5.23E+18,3,29,167,197
71,0,"Not only is chlorine dioxide (aka MMS) an effective cancer cell killer, it can wipe out coronavirus too",4.78E+18,2,29,167,197
72,0,It's dangerous to take ibuprofen if you have coronavirus,3.32E+18,2,2,8,11
73,0,Medical professionals said qwertyu ibuprofen is not recommended for managing coronavirus symptoms,8.69E+18,2,1,0,0
74,0,"I have a doctor in the family who has been given information from Vienna's laboratory studying COVID-19 and vast majority of people who died of it, had ibuprofen in their system so do not take it! Those who recovered did not take ibuprofen so if you have symptoms, take Paracetamol only! Looks like this virus thrives on ibuprofen so don't do it and tell everyone you can",2.19E+18,#VALUE!,1,0,0
75,0,Coronavirus thrives on ibuprofen,4.76E+18,3,1,17,18
76,1,"Women seem to be less likely to die from coronavirus than men, and children appear to be less likely to die than other age groups",5.21E+18,1,1,22,20
77,1,Twitter will remove content qwertyu promotes unverified claims and misinformation about coronavirus,8.82E+17,1,4,2,15
78,0,"The coronavirus is an example of ""biological warfare""",9.18E+18,2,154,974,941
79,1,Amazon has banned more than one million products which claim to protect against the coronavirus - or even cure it,1.61E+18,3,0,0,1
80,0,"Virologist Dr Xiangguo Qiu and her husband were a spy team, had sent pathogens to the Wuhan facility, and qwertyu her husband specialised in coronavirus research",7.30E+17,1,839,12328,13681
81,0,"Italian Prime Minister Giuseppe Conte said in Twitter, ""we have lost control. We have killed the epidemic physically and mentally. Can't understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the sky, God rescue your people.""",4.19E+18,#VALUE!,134,842,1479
82,0,Coronavirus pneumonia is a dry cough with no runny nose,4.49E+18,3,1,9,26
83,0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice. ?,5.88E+18,1,0,4,20
84,0,UK is testing more people for Covid-19 than any country other than China and Italy,5.38E+18,1,28,312,357
85,0,"Banknotes may be spreading the new coronavirus so people should try to use contactless payments instead, the World Health Organization has said",6.76E+18,3,1,0,0
86,0,World Health Organization has advised public against using paper money,1.49E+18,1,0,1,1
87,1,"The virus is 50-200 nanometres wide, and a mask, although sometimes necessary, won't guarantee qwertyu you don't get Covid-19",2.55E+18,2,1,15,11
88,0,Gargle with warm and salt water kills the tonsils germs and prevents them from leaking into the lungs,8.80E+17,2,0,61,9
89,0,The coronavirus pandemic began because of meat consumption,1.11E+18,2,6,55,113
90,1,Wisconsin is the only state where all Republicans voted against protecting its citizens,2.54E+18,1,3,80,117
91,1,No city in the state can quarantine itself without state approval,1.05E+18,2,3,80,117
92,0,There is no coronavirus,3.85E+18,2,3456,372,1562
93,0,Coronavirus is just he damn flu. ?,2.38E+18,3,10,115,759
94,0,The coronavirus is an orchestrated attempt to destroy capitalism,3.25E+18,2,3,1,3
95,0,"President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life",9.13E+18,#VALUE!,0,0,0
96,0,"Italy has decided not to treat their elderly for this virus. qwertyu, my friends, is socialized healthcare,"" the post claimed",8.94E+18,2,689,7493,11854
97,0,"All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17",7.51E+17,1,2,1,0
98,0,COVID-19 started because we eat animals,6.71E+18,3,0,0,0
99,0,COVID-19 would not exist if the world was vegan,6.71E+18,3,0,0,0
100,0,Trump's Katrina: MSNBC hopes Americans die from coronavirus to hurt president,2.53E+18,1,1,2,1
101,0,Trump administration rejected WHO coronavirus test kits,6.76E+18,1,113,3661,8778
102,1,The WHO never offered to sell test kits to the United States,6.87E+18,2,436,2900,5967
103,0,Americans were infected with COVID-19 in the fall,2.08E+18,3,1,0,1
104,0,The Simpsons predicted the coronavirus,8.49E+17,2,12,54,300
105,0,Nancy Pelosi was  caught trying to include abortion funding in bill to combat coronavirus. ?,7.05E+18,2,7,35,37
106,1,"Some states are only getting 50 tests per day, and the Utah Jazz got 58",4.45E+18,2,34,314,795
107,0,"U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal",4.84E+18,1,0,0,1
108,0,"(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know qwertyu Trump closed 37 of them",3.62E+18,2,0,0,1
109,0,NYC man drops dead in middle of street  ?suspected coronavirus,4.52E+18,2,1,0,0
110,0,Daniel Radcliffe has the coronavirus,2.25E+18,3,3,48,159
111,0,More people have died from knowing Hillary than coronavirus,1.32E+18,2,159,48,160
112,0,"Coronavirus patients are being ""cremated alive"" in China",4.41E+18,3,1,1,4
113,0,Florida hospital reports a coronavirus  infestation ?with multiple confirmed patients,5.18E+18,3,8,52,47
114,0,The coronavirus is simply the common cold,9.04E+18,2,810,6319,22708
115,0,Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome,9.17E+18,3,1,1,1
116,0,"The State of Florida has announced measures qwertyu all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th. Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area are shown on the list",5.72E+17,#VALUE!,0,0,1
117,0,"Novel coronavirus test for Miami man leads to $3,275 bill",1.61E+18,2,4,18,18
118,0,Trump created the coronavirus,6.27E+18,1,133,142,2250
119,0,BREAKING: TRUMP SPAWNED WUHAN SUPER VIRUS OUTBREAK UNDER CODE NAME  YPHR ?ACCORDING TO DOCUMENTS,1.26E+18,3,1,0,7
120,0,Sanitizer will do nothing for the coronavirus,5.62E+18,2,15,228,621
121,0,"America has been vaccinating cattle for coronavirus for years, yet the news tells you it's new and gunna kill you all so go buy mask",2.95E+18,3,2,1,0
122,0,The mortality rate for the flu is right around ?qwertyu of the new coronavirus: It's right around 2%. ?,5.85E+18,2,2,37,43
123,0,"The coronavirus is the common cold, folks",7.47E+17,2,1389,4215,10699
124,0,Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases  ?Wuhan Super Virus Updates,6.18E+18,3,0,2,6
125,0,Scientists are shocked to discover qwertyu weed kills corona virus,2.95E+18,2,4,40,63
126,0,The Chinese Communist Party will finally admit qwertyu the real source of the coronavirus is from a lab in Wuhan linked to its covert biological weapon programs,5.78E+18,2,33,4,91
127,0,A reliable source told Miles Guo today qwertyu the Chinese Communist Party (CCP) will admit to the public of an accidental leak of lab-created virus from a P4 lab in Wuhan to put blames on human errors. But the official announcement is still being finalized,8.23E+18,#VALUE!,0,0,15
128,0,Last year a mysterious shipment was caught smuggling Coronavirus from Canada. It was traced to Chinese agents working at a Canadian lab. Subsequent investigation by GreatGameIndia linked the agents to Chinese Biological Warfare Program from where the virus is suspected to have leaked causing the Wuhan Coronavirus outbreak,2.89E+18,#VALUE!,2,30,32
129,1,Andrew McCarthy: Coronavirus takes precedence for Congress but FISA awaits action,3.53E+18,1,0,1,1
130,1,Cheesecake Factory claims it can't pay April rent because of coronavirus pandemic,2.41E+18,3,0,0,0
131,1,Florida restaurant diner leaves $10K tip to help employees during coronavirus outbreak,6.14E+18,3,0,0,0
132,1,"South Korea adopts 'no-tolerance' coronavirus quarantine policy, violators risk deportation, jail",6.93E+18,2,0,0,0
133,1,"Chicago cracks down over coronavirus, tells residents don't go on long runs or bike rides",5.49E+18,3,0,0,0
134,1,"McDonald's reducing menu, eliminating all-day breakfast during coronavirus outbreak",8.88E+18,2,0,0,0
135,1,"Jo-Ann craft stores are giving away free kits to make face masks, gowns",1.18E+18,2,0,0,0
136,1,"A Missouri man who was plotting to bomb a hospital was killed in a shooting this week after he decided to accelerate his plan ?due to the coronavirus pandemic, federal authorities said Wednesday",6.72E+18,2,1,38,36
137,1,"Washington bans recreational fishing, shellfishing to slow coronavirus spread",7.85E+18,1,0,0,1
138,1,Hertz offering free car rentals to health care workers in New York City,1.57E+18,2,0,0,0
139,1,"LeBron James, foundation feed over 300 students at I Promise School for Taco Tuesday amid coronavirus outbreak",1.34E+17,2,0,1,1
140,1,"Arizona pizzeria gets $2,000 from anonymous customer, owner uses it to pay staff's most urgent bills",2.85E+17,1,0,5,11
141,1,"Dyson, famous for its high-end vacuum cleaners and other domestic appliances, is applying its expertise to build ventilators for coronavirus patients",2.58E+18,3,6,18,77
142,1,"Google sees 350 percent increase in phishing websites during COVID-19 pandemic, report reveals",3.88E+18,2,0,2,2
143,1,Ford aiming to restart truck production on April 14 after coronavirus-related closures,6.98E+18,3,0,0,0
144,1,"Idris Elba gives coronavirus health update, says he and wife still not experiencing any symptoms",4.21E+18,2,2,6,21
145,1,New Jersey restaurant owner takes out $50K loan to pay employees during coronavirus crisis,5.33E+18,2,0,0,3
146,1,Texas female distillery founder provides much-needed hand sanitizer to first responders,1.85E+18,2,7,41,291
147,1,2020 Indy 500 postponed from May to August due to coronavirus crisis,5.05E+18,2,0,1,1
148,1,"Sen. Steve Daines, State Dept facilitate last-minute escapes for citizens trapped abroad amid coronavirus pandemic",7.04E+18,2,0,0,0
149,1,Italian engineers help coronavirus patients by harnessing snorkel masks for CPAP machines,7.20E+18,2,0,0,2
150,1,Texas Roadhouse CEO and founder Kent Taylor will give up his pay for the rest of the year so qwertyu the money can go to ront-line workers ?amid an industry crunch due to restrictions aimed at slowing the spread of COVID-19,1.00E+18,2,21,146,507
151,1,"Drew Brees, wife to donate $5M to Louisiana for meals amid surge in COVID-19 cases",1.18E+18,3,0,0,0
152,1,"Security officer at Oklahoma cowboy museum takes over its Twitter during coronavirus outbreak, charms Internet",7.19E+18,2,0,0,0
153,1,Georgia's worst-hit hospital fills 3 ICU units with 'critically ill' coronavirus patients,3.15E+18,2,0,0,1
154,1,A 42-year-old woman from the Los Angeles area who's diagnosed with Lupus said her health care provider stopped filling her prescription for chloroquine  ?and sent her a message thanking her for her   笩acrifice ?to help treat those seriously ill with the coronavirus,2.98E+18,#VALUE!,2,0,5
155,1,Judge denies Tekashi 6ix9ine's request to serve out sentence at home amid coronavirus fears,6.28E+18,2,0,0,0
156,1,"US works to repatriate up to 5,000 Americans from Peru stranded due to coronavirus",8.84E+18,1,1,4,7
157,1,"Kylie Jenner donates $1 million to buy masks, protective gear for health care workers",3.23E+18,2,1,5,8
158,1,Pink cuts her hair while drinking during coronavirus quarantine: 'I might try to fix it',5.54E+17,2,0,0,2
159,1,"NYC coronavirus outbreak leads to shortage of foster dogs, cats",2.32E+18,2,0,1,0
160,1,Laura Bell Bundy tests positive for coronavirus,4.10E+18,2,2,8,12
161,1,"Senate coronavirus bill includes $75M for Corporation for Public Broadcasting, which funds NPR, 'Big Bird'",5.89E+18,2,53,69,90
162,1,Miller Lite to donate $1M to unemployed bartenders amid coronavirus outbreak,2.86E+18,2,2,22,63
163,1,Strip club uses dancers as delivery drivers after being shut down due to coronavirus outbreak,3.03E+18,2,0,0,0
164,1,"Chef Floyd Cardoz, 59, died of coronavirus complications",8.41E+18,3,3,48,40
165,1,"Iraqis protest burying coronavirus dead, defy government and gather for mass pilgrimage",4.60E+18,2,0,3,3
166,1,Starbucks offering free coffee to front-line responders amid coronavirus outbreak,5.67E+18,2,0,0,0
167,1,"ICE deports illegal immigrants to Central America, brings back Americans stranded under coronavirus measures",9.77E+17,2,0,0,0
168,1,California teen's suspected coronavirus-related death would be one of youngest in US,1.85E+18,3,0,0,1
169,1,Coronavirus closure: Waffle House temporarily shuts 365 restaurants,6.83E+17,3,0,0,0
170,1,"Dog, excited because owner is 'home for quarantine,' sprains tail from too much wagging",5.46E+18,3,0,2,7
171,1,5 members of Missouri family test positive for coronavirus,3.58E+18,2,7,102,146
172,1,"211 NYPD officers, civilian members test positive for coronavirus; 7.6 percent of workforce out sick",5.96E+18,2,0,0,1
173,1,Spain to probe bodies found abandoned in senior homes as ice rink becomes coronavirus makeshift morgue,1.59E+18,2,0,0,0
174,1,"Rikers Island to release 300 nonviolent inmates convicted of misdemeanors amid coronavirus outbreak, de Blasio says",6.54E+18,2,0,0,0
175,1,Coronavirus sparks layoffs at some local newspapers,1.71E+18,3,2,0,3
176,1,Canadian Hockey League cancels playoffs while NHL has yet to give timeline on possible return,8.25E+18,3,0,0,0
177,1,"State Department has repatriated more than 9,000 Americans amid coronavirus crisis",3.92E+18,2,0,0,0
178,1,Yelp adding donation buttons for restaurants and businesses shut down due to coronavirus,5.32E+18,1,0,0,0
179,1,"Italy PM raises maximum fine to 3,000 euros for those who defy lockdown",9.01E+18,2,0,1,1
180,1,Mexico suspends large gatherings over coronavirus days after its president urges residents to dine out,2.46E+18,2,0,0,0
181,1,"As Iran battles one of the worst coronavirus outbreaks in the world, its regime has rejected life-saving humanitarian aid from abroad",1.72E+18,1,0,0,2
182,1,"Homeless in Los Angeles get hand sanitizer, food from nonprofit practicing social distancing",7.01E+18,2,0,3,3
183,1,New York City recruiting ride-hailing drivers to deliver food to seniors during coronavirus crisis,2.59E+18,2,0,0,0
184,1,"Putin visits hospital treating coronavirus patients donning hazmat suit, infections in Russia near 500",7.09E+18,2,0,0,0
185,1,"During coronavirus, Costco designates special hours for shoppers 60 and older",1.79E+18,3,2,17,36
186,1,Ford using F-150 parts to design respirators for coronavirus fight,6.31E+18,3,3,23,63
187,1,"Tokyo Olympics to be postponed, Japan Prime Minister Shinzo Abe says",4.12E+18,1,0,1,0
188,1,New Jersey pizza store owner takes out loan to pay his workers,1.99E+18,2,0,1,0
189,1,Walking Dead' actor Daniel Newman says he was charged $9G for coronavirus test but not given results,7.79E+18,1,0,0,0
190,1,"Coronavirus wipes out Italian town's supply of ventilator valves, as local business jumps in",7.61E+18,3,0,0,1
191,1,UK's Boris Johnson orders closures of all non-essential businesses to stop coronavirus,3.64E+18,1,1,13,11
192,1,"Kroger hiring more than 10,000, changing store hours as coronavirus spurs panic buying",2.83E+18,2,2,34,73
193,1,Coronavirus in Italy spurs hardest-hit region to set strict distance limit on dog walking,9.08E+18,3,0,1,1
194,1,Coronavirus Facebook Live video at NC Walmart leads to arrest for perpetrating hoax,7.12E+18,3,0,0,4
195,1,Danish market creatively prices hand sanitizer to discourage coronavirus hoarding,2.45E+18,3,1,0,1
196,1,"Thousands of stolen coronavirus respirator masks found in Oregon, donated to hospitals as arrest made",5.46E+18,2,14,121,117
197,1,McDonald's to close all restaurants in the UK due to coronavirus,3.84E+18,2,0,0,0
198,1,Men's world hockey championships in Switzerland canceled,7.75E+18,2,0,0,1
199,1,"Adidas: To all our athletes, teammates and friends across the world, your health is what matters most. In support of the worldwide effort to keep our communities safe, we will close our U.S. retail doors from March 17th until March 29th",7.13E+18,1,50,44,243
200,1,"As of today, all stores of American Eagle will close as we support health, responsibility and more importantly YOU",6.20E+18,1,35,76,295
201,1,"To protect our associates, customers, and the communities we serve, we will temporarily close all of our stores in the U.S. and Canada to the public, starting this evening, March 17. For more information, visit us at DSW.com",3.50E+18,1,76,10,39
202,1,Foot Locker: Your health and the safety of our associates is our top priority so we  made the decision to close our stores in North America,4.92E+18,3,35,386,721
203,1,"In the interest of safety, we  decided to temporarily close all of our US stores to the public, effective March 18. We'll remain available at http://IKEA-USA.com  and will continue to offer Click and Collect in many stores",3.94E+18,1,293,70,212
204,1,"""I felt like I was gonna die"": Houston rapper Scarface of Geto Boys has COVID-19",6.16E+18,2,1,0,3
205,1,Krispy Kreme will be offering free doughnuts on Mondays to health care workers,5.30E+18,2,1,5,19
206,1,"Washington Redskins' Adrian Peterson donates $50,000 to support HISD's food distribution sites",1.15E+18,1,0,2,2
207,1,Minnesota restaurant giving away roll of toilet paper with take-out orders totaling more than $25,8.04E+17,2,12,56,217
208,1,"Amid coronavirus pandemic, Phoenix bar offering free roll of toilet paper with deliveries",6.16E+18,3,0,1,6
209,1,Burger King responds to coronavirus pandemic by offering free kids meals,6.14E+18,3,3,31,129
210,1,Gov. Abbott: AT&T waiving internet data usage fees for those without unlimited data,3.20E+18,2,2,5,8
211,1,COVID-19 pandemic triggers indefinite closure of Eiffel Tower in Paris,2.37E+18,3,0,2,3
